id,event,time_raw,time_year,dynasty,period,location,province,modern_place,lat,lng,textbook,unit,description,prompt
7A-02-11,春秋争霸（齐桓公称霸）,公元前7世纪（前685-前643年）,-685,东周,春秋时期,齐都临淄（今山东淄博）,山东省,淄博市临淄区,36.82,118.3,七上,第二单元 夏商周,齐桓公任用管仲为相，改革内政，发展生产，训练军队。管仲提出「尊王攘夷」的口号，借周天子的名义号令诸侯，齐桓公成为春秋时期的第一个霸主。齐国都城临淄是当时最繁华的都城之一，商业繁荣，人口众多。,"Duke Huan of Qi in a grand hall receiving advisors, the strategist Guan Zhong presenting policy documents, Qi capital Linzi bustling with merchants and goods, a banner proclaiming respect the king and repel the barbarians, wealthy and powerful Qi state, Late Ming Huizhou woodblock print style, black and white baimiao line drawing on aged yellowed xuan paper, fine curved carving lines, no coloring, pure ink lines, traditional baimiao landscape technique, classical narrative figures, ancient rustic antique book texture, rich detail, high-fidelity line work"
7A-02-12,城濮之战,公元前632年,-632,东周,春秋时期,城濮（今山东鄄城）,山东省,菏泽市鄄城县,35.56,115.5,七上,第二单元 夏商周,公元前632年，晋楚两国在城濮（今山东鄄城）展开大战。晋文公兑现当年流亡楚国时许下的承诺，主动「退避三舍」（后撤九十里）。楚军轻敌冒进，被晋军诱敌深入后包抄夹击，最终大败。此战后晋文公成为中原霸主。,"Battle at Chengpu, Jin soldiers deliberately retreating three shi distances as promised, Chu cavalry charging forward in pursuit only to be ambushed from flanking hills, Jin Wen Gong on a chariot watching the trap unfold, dramatic tactical victory, Late Ming Huizhou woodblock print style, black and white baimiao line drawing on aged yellowed xuan paper, fine curved carving lines, no coloring, pure ink lines, traditional baimiao landscape technique, classical narrative figures, ancient rustic antique book texture, rich detail, high-fidelity line work"
7A-02-13,铁器牛耕出现,春秋后期,-500,东周,春秋后期,黄河、长江流域,中原地区,黄河中下游,34.8,113.7,七上,第二单元 夏商周,春秋后期，铁制农具和牛耕技术开始出现并逐步推广。铁犁铧比木石工具更锋利耐用，牛耕大大提高了耕作效率。这些技术革新促进了农业的深耕细作，荒地大量开垦，粮食产量显著提高，为战国时期的社会变革奠定了物质基础。,"Spring and Autumn period farmers in a field, one figure guiding an ox pulling an iron plow through soil, another sharpening an iron sickle, a village workshop where a blacksmith heats iron in a furnace, agricultural revolution transforming the countryside, Late Ming Huizhou woodblock print style, black and white baimiao line drawing on aged yellowed xuan paper, fine curved carving lines, no coloring, pure ink lines, traditional baimiao landscape technique, classical narrative figures, ancient rustic antique book texture, rich detail, high-fidelity line work"
7A-02-14,都江堰修建,公元前256年（战国）,-256,东周,战国时期,成都平原（今四川都江堰市）,四川省,成都市都江堰市,30.99,103.62,七上,第二单元 夏商周,战国时期，秦国蜀郡太守李冰父子在岷江流域主持修建了都江堰水利工程。工程由「鱼嘴」分水堤、「飞沙堰」溢洪道、「宝瓶口」引水口三部分组成，巧妙地实现了分流、排沙和控水。从此成都平原「水旱从人，不知饥馑」，被誉为「天府之国」，至今仍在发挥效益。,"The Dujiangyan waterworks on the Minjiang River, the fish-mouth levee splitting the river into two channels, workers maintaining the flying-sand spillway, the bottleneck inlet channel carved through mountain rock, irrigated Chengdu plains stretching below, Late Ming Huizhou woodblock print style, black and white baimiao line drawing on aged yellowed xuan paper, fine curved carving lines, no coloring, pure ink lines, traditional baimiao landscape technique, classical narrative figures, ancient rustic antique book texture, rich detail, high-fidelity line work"
7A-02-15,商鞅变法,公元前356年,-356,东周,战国时期,秦都栎阳→咸阳（今陕西）,陕西省,西安市/咸阳市一带,34.33,108.71,七上,第二单元 夏商周,公元前356年，秦孝公任用商鞅推行变法。变法内容主要包括：确立县制，由国君直接派官吏管理；废除旧贵族特权，奖励军功；奖励耕织，生产粮食布帛多的人免除徭役；统一度量衡等。变法使秦国经济发展、军队战斗力增强，成为战国后期最强大的诸侯国，为日后统一全国奠定了基础。,"Shang Yang presiding over a public ceremony in Qin capital, officials measuring land boundaries with standardized tools, a soldier receiving a reward plaque for military merit, old noble privileges being publicly abolished, reform edicts posted on city walls, Late Ming Huizhou woodblock print style, black and white baimiao line drawing on aged yellowed xuan paper, fine curved carving lines, no coloring, pure ink lines, traditional baimiao landscape technique, classical narrative figures, ancient rustic antique book texture, rich detail, high-fidelity line work"
7A-02-16,长平之战,公元前260年,-260,东周,战国时期,长平（今山西高平）,山西省,晋城市高平市,35.8,112.92,七上,第二单元 夏商周,公元前260年，秦赵两国在长平（今山西高平）展开决战国。秦将白起采用反间计使赵国换掉老将廉颇，改派只会纸上谈兵的赵括为将。白起佯败诱敌，切断赵军后路和粮道，围困赵军四十六天。最终赵括被射死，四十余万赵军被俘坑杀。此战后赵国元气大伤，东方六国再也无力抵挡秦国的统一攻势。,"The devastating battle at Changping, Qin general Bai Qi on a hill watching encircled Zhao troops, starving Zhao soldiers trapped in a deep valley with no escape, General Zhao Kuo struck by arrows, aftermath of mass casualties on the bloody battlefield, Late Ming Huizhou woodblock print style, black and white baimiao line drawing on aged yellowed xuan paper, fine curved carving lines, no coloring, pure ink lines, traditional baimiao landscape technique, classical narrative figures, ancient rustic antique book texture, rich detail, high-fidelity line work"
7A-02-17,百家争鸣,春秋战国时期,-500,东周,春秋战国,各诸侯国,中原及各地,广泛分布于各诸侯国,34.8,113.7,七上,第二单元 夏商周,春秋战国时期，社会急剧变化，各学派纷纷著书立说、聚徒讲学，形成了思想文化领域空前繁荣的「百家争鸣」局面。老子是道家学派的创始人，主张「无为而治」；孔子是儒家学派的创始人，提出「仁」和「礼」，主张以德治国；还有墨家的「兼爱非攻」、法家的「以法治国」等。这场思想大解放对中国文化产生了深远影响。,"Philosophers debating in a scholarly courtyard, a Confucian scholar teaching disciples about virtue and ritual, a Daoist sage meditating under a tree, a Legalist minister presenting law codes to a king, a Mohist craftsman demonstrating defensive fortifications, intellectual flourishing of the hundred schools, Late Ming Huizhou woodblock print style, black and white baimiao line drawing on aged yellowed xuan paper, fine curved carving lines, no coloring, pure ink lines, traditional baimiao landscape technique, classical narrative figures, ancient rustic antique book texture, rich detail, high-fidelity line work"
7A-02-18,秦灭六国/统一全国,公元前230-前221年,-221,秦朝,秦灭六国,韩赵魏楚燕齐 → 咸阳,全国,统一建都咸阳（今陕西咸阳）,34.33,108.71,七上,第三单元 秦汉时期,从公元前230年到前221年，秦王嬴政采取「远交近攻」的策略，先后灭亡了韩、赵、魏、楚、燕、齐六国，完成了统一大业，结束了春秋战国以来长期分裂割据的局面，建立了中国历史上第一个统一的多民族的中央集权制封建国家。,"Qin King Zheng on a grand throne receiving surrender from six defeated state envoys, a unified map of China displayed behind him, the imperial seal of the first emperor, conquered capitals marked on the map, end of centuries of division, Late Ming Huizhou woodblock print style, black and white baimiao line drawing on aged yellowed xuan paper, fine curved carving lines, no coloring, pure ink lines, traditional baimiao landscape technique, classical narrative figures, ancient rustic antique book texture, rich detail, high-fidelity line work"
7A-03-01,秦朝建立/皇帝制度,公元前221年,-221,秦朝,秦朝,咸阳（今陕西咸阳）,陕西省,咸阳市,34.33,108.71,七上,第三单元 秦汉时期,公元前221年，秦王嬴政统一六国后，自称「始皇帝」，希望秦朝的统治能够二世、三世以至万世传下去。他在中央设三公九卿，在地方推行郡县制，将全国分为三十六郡。又统一文字为小篆和隶书，统一货币为圆形方孔半两钱，统一度量衡和车轨宽度。这些措施加强了中央集权，有利于经济文化交流和统一多民族国家的巩固。,"The First Emperor of Qin standing on a high palace terrace at Xianyang overlooking his unified empire, officials presenting standardized coinage weights and measures, palace architects displaying building plans, imperial decree being issued for a single writing system, Late Ming Huizhou woodblock print style, black and white baimiao line drawing on aged yellowed xuan paper, fine curved carving lines, no coloring, pure ink lines, traditional baimiao landscape technique, classical narrative figures, ancient rustic antique book texture, rich detail, high-fidelity line work"
7A-03-02,修建万里长城,公元前215年,-215,秦朝,秦朝,西起临洮—东到辽东,甘肃→辽宁,甘肃临洮→辽宁辽阳/丹东一带,37.8,108,七上,第三单元 秦汉时期,为抵御北方匈奴的侵扰，秦始皇派大将蒙恬率三十万大军北击匈奴，并征发民夫将原秦、赵、燕三国北方的长城连接起来并加以扩建。修筑成的万里长城西起临洮、东到辽东，蜿蜒万余里，是古代世界最伟大的工程之一，也是中华民族智慧和力量的象征。,"Massive construction scene of the Great Wall, laborers hauling stone blocks up steep mountain ridges, General Meng Tian directing workers along the northern frontier, wall sections connecting older walls from Yan Zhao and Qin states, wall stretching from Lintao to Liaodong across rugged terrain, Late Ming Huizhou woodblock print style, black and white baimiao line drawing on aged yellowed xuan paper, fine curved carving lines, no coloring, pure ink lines, traditional baimiao landscape technique, classical narrative figures, ancient rustic antique book texture, rich detail, high-fidelity line work"
